Datum/Zeit [MEZ];Temperatur [°C];Sauerstoff [mg/l];pH_Wert;Leitfähigkeit [µS/cm];Trübung [FNU];Chlorophyll a [µg/l]
16.05.2022 08:00;17.1;7.9;8;840;3.6; - 
16.05.2022 07:00;17.1;7.8;8;840;3.6; - 
16.05.2022 06:00;17.1;7.8;8;840;3.7; - 
16.05.2022 05:00;17.1;7.9;8;839;4.2; - 
16.05.2022 04:00;17.2;8;8;839;4.7; - 
16.05.2022 03:00;17.3;8.2;8;838;4.1; - 
16.05.2022 02:00;17.4;8.5;8;838;4.4; - 
16.05.2022 01:00;17.6;8.9;8;838;4.4; - 
16.05.2022 00:00;17.8;9.3;8.1;837;4.5; - 
15.05.2022 23:00;18;9.7;8.1;836;4.3; - 
15.05.2022 22:00;18.2;10.1;8.1;835;4.2; - 
15.05.2022 21:00;18.2;10.4;8.1;835;4; - 
15.05.2022 20:00;18.3;10.5;8.2;835;4.1; - 
15.05.2022 19:00;18.3;10.6;8.2;835;4; - 
15.05.2022 18:00;18.3;10.7;8.2;835;3.9; - 
15.05.2022 17:00;18.3;10.8;8.2;834;4.3; - 
15.05.2022 16:00;18.2;10.7;8.2;834;5; - 
15.05.2022 15:00;18.1;10.5;8.2;833;5.1; - 
15.05.2022 14:00;18;10.4;8.2;831;4.4; - 
15.05.2022 13:00;17.9;10.2;8.2;829;4.3; - 
15.05.2022 12:00;17.6;9.8;8.1;829;4.1; - 
15.05.2022 11:00;17.3;9.4;8.1;829;3.9; - 
15.05.2022 10:00;17.1;9;8.1;829;4.5; - 
15.05.2022 09:00;16.9;8.5;8.1;829;4.3; - 
15.05.2022 08:00;16.8;8.1;8;828;4.2; - 
15.05.2022 07:00;16.7;7.8;8;827;4.1; - 
15.05.2022 06:00;16.7;7.6;8;825;4; - 
15.05.2022 05:00;16.7;7.8;8;824;4.1; - 
15.05.2022 04:00;16.8;7.9;8;822;4.6; - 
15.05.2022 03:00;16.9;8.4;8;820;6; - 
15.05.2022 02:00;16.9;8.2;8;820;5; - 
15.05.2022 01:00;17;8.4;8;818;5; - 
15.05.2022 00:00;17.1;8.7;8;816;5.3; - 
14.05.2022 23:00;17.3;9;8;814;5.9; - 
14.05.2022 22:00;17.4;9.3;8;813;5.8; - 
14.05.2022 21:00;17.6;9.6;8.1;814;5.9; - 
14.05.2022 20:00;17.7;9.9;8.1;816;5.2; - 
14.05.2022 19:00;17.8;10.1;8.1;818;4.6; - 
14.05.2022 18:00;17.9;10.4;8.1;819;4.5; - 
14.05.2022 17:00;18;10.6;8.1;818;4.6; - 
14.05.2022 16:00;18;10.6;8.1;816;5; - 
14.05.2022 15:00;17.8;10.4;8.1;812;4.9; - 
14.05.2022 14:00;17.6;10;8;808;4.7; - 
14.05.2022 13:00;17.2;9.6;8;805;4.9; - 
14.05.2022 12:00;16.9;9.2;8;802;5; - 
14.05.2022 11:00;16.6;8.8;8;802;5.5; - 
14.05.2022 10:00;16.4;8.6;8;806;5.5; - 
14.05.2022 09:00;16.3;8.3;8;816;5.6; - 
14.05.2022 08:00;16.3;8.2;8;830;5.8; - 
14.05.2022 07:00;16.3;8.1;8;844;5.7; - 
14.05.2022 06:00;16.4;8;8;853;5.6; - 
14.05.2022 05:00;16.4;7.9;7.9;856;5.8; - 
14.05.2022 04:00;16.4;7.9;7.9;856;6.4; - 
14.05.2022 03:00;16.5;7.9;7.9;855;6.2; - 
14.05.2022 02:00;16.6;7.9;7.9;854;6.2; - 
14.05.2022 01:00;16.7;8;7.9;849;6.5; - 
14.05.2022 00:00;16.7;8.1;8;842;6.6; - 
13.05.2022 23:00;16.9;8.3;8;836;7.3; - 
13.05.2022 22:00;17;8.5;8;835;7.2; - 
13.05.2022 21:00;17.2;8.7;8;837;7.5; - 
13.05.2022 20:00;17.4;8.8;8;838;8.1; - 
13.05.2022 19:00;17.5;8.9;8;837;8.7; - 
13.05.2022 18:00;17.7;9;8;833;10.9; - 
13.05.2022 17:00;17.7;9;8;823;15.4; - 
13.05.2022 16:00;17.6;9;8;810;10.4; - 
13.05.2022 15:00;17.5;8.8;8;805;10; - 
13.05.2022 14:00;17.3;8.3;7.9;802;10.3; - 
13.05.2022 13:00;17.2;7.9;7.9;798;9.9; - 
13.05.2022 12:00;17.1;7.8;7.9;804;9.8; - 
13.05.2022 11:00;17.1;7.8;8;810;8.4; - 
13.05.2022 10:00;17.1;7.6;8;822;8.1; - 
13.05.2022 09:00;17;7.6;8;838;7.7; - 
13.05.2022 08:00;17;7.8;8;847;6.5; - 
13.05.2022 07:00;17;7.9;8;849;7.4; - 
13.05.2022 06:00;17;8;8;849;9.5; - 
13.05.2022 05:00;17;8;8;843;14.3; - 
13.05.2022 04:00;17;8;8;845;12.8; - 
13.05.2022 03:00;17.1;8;8;842;8.9; - 
13.05.2022 02:00;17.2;8.1;8;847;6.6; - 
13.05.2022 01:00;17.2;8.5;8.1;859;6.3; - 
13.05.2022 00:00;17.4;8.9;8.1;876;4.7; - 
12.05.2022 23:00;17.5;9.4;8.2;878;5.5; - 
12.05.2022 22:00;17.7;9.8;8.2;874;5.9; - 
